,Datetime,Tweet Id,Text
0,2020-08-30 23:59:57+00:00,1300221754913296391,"-You believe that a death toll around 180,000 in less than a year is acceptable. 
-You think COVID-19 is a hoax that Democrats released upon the entire world and got all world leaders to participate in, knowing that Trump would fumble and look bad. 8/"
1,2020-08-30 23:59:56+00:00,1300221750395899904,Boston sets 4% #Covid19 positivity rate as threshold for closing schools: State as a whole is hovering around 1% - parts of Boston over 11%
