Date,Sentiment
1/29/2020,-0.379951655
2/28/2020,-0.350698583
3/30/2020,-0.237917248
4/29/2020,-0.238897658
5/30/2020,-0.310808425
6/29/2020,-0.283404305
7/30/2020,-0.286058076
8/30/2020,-0.371020863
9/29/2020,-0.298692704
10/30/2020,-0.306791514
11/29/2020,-0.287460526
12/30/2020,-0.285094298
1/30/2021,-0.244908574
2/27/2021,-0.139787335
3/30/2021,-0.227394082
4/29/2021,-0.227022185
5/23/2021,-0.190351894
